#Study : Validierungsstudie2
#Date : 20161027 15:15:02
#Version : 6.2.4062.0
#TestRunDate : 20161027 13:25:34.239 (+02:00)

StudyName	ExportDate	Name	Age	Gender	StimulusName	SlideType	EventSource	Timestamp	MediaTime	PostMarker	Annotation	version	Number of faces	width	height	FrameIndex	faceid	#classifiers	Brow Furrow	Brow Raise	Engagement	Lip Corner Depressor	Smile	Valence	Attention	Interocular Distance	Pitch	Yaw	Roll	InnerBrowRaise	EyeClosure	NoseWrinkle	UpperLipRaise	LipSuck	LipPress	MouthOpen	ChinRaise	Smirk	LipPucker	Anger	Sadness	Disgust	Joy	Surprise	Fear	Contempt	Cheek Raise	Dimpler	Eye Widen	Lid Tighten	Lip Stretch	Jaw Drop	FrameNo	FrameTime	NoOfFaces	FaceRect X	FaceRect Y	FaceRect Width	FaceRect Height	Joy Evidence	Joy Intensity	Anger Evidence	Anger Intensity	Surprise Evidence	Surprise Intensity	Fear Evidence	Fear Intensity	Contempt Evidence	Contempt Intensity	Disgust Evidence	Disgust Intensity	Sadness Evidence	Sadness Intensity	Neutral Evidence	Neutral Intensity	Positive Evidence	Positive Intensity	Negative Evidence	Negative Intensity	LiveMarker	KeyStroke	MarkerText	SceneType	SceneOutput	SceneParent
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	66	66			4	1	800	542	0	0	34	0.003023798	0.01988355	0.09174332	0.0005074519	3.479627E-05	-0.07683563	0	0	0	0	0	0.241191	4.245414E-12	0.0001193326	5.458155E-05	0.0003640958	0.01054736	2.077935	0.0002025686	0.05461927	0.0006909209	0.004492178	0.02277669	0.4421925	0.00189791	0.2132246	0.005042193	0.1938032	0.000418383	0.00183064	0.00403248	0.01951993	0.002060813	0.1326876	0	67	1	241	188	270	270	-0.7562991	0	-2.147073	0	-3.019042	0	-1.749638	0	-0.4504007	0	-1.97962	0	-2.131928	0	1.548573	0	-0.7562991	0	-0.4504007	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	100	100			4	1	800	542	1	0	34	0.002772935	0.02237991	0.09467031	0.000506425	2.909965E-05	-0.1406479	0	0	0	0	0	0.4545193	1.185942E-11	0.0001268673	6.755764E-05	0.0003446559	0.01009325	2.51553	0.0002007845	0.05041878	0.0006163213	0.004451605	0.02276672	0.4457086	0.001912943	0.2188795	0.005179565	0.193716	0.0003993146	0.001773542	0.00354678	0.02025722	0.002021337	0.1479299	1	100	1	241	188	270	270	-0.7183985	0	-2.177874	0	-2.946958	0	-1.694078	0	-0.4922531	0	-1.999707	0	-2.115667	0	1.629371	0	-0.7183985	0	-0.4922531	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	133	133			4	1	800	542	2	0	34	0.001799412	0.02166413	0.0953669	0.000456891	3.54498E-05	-0.1035767	0	0	0	0	0	0.3339239	9.937682E-12	0.0001585428	6.270051E-05	0.0003408667	0.009096359	2.618978	0.0001648997	0.05910427	0.0006171482	0.004473958	0.02250584	0.4465452	0.001916714	0.2191111	0.005185427	0.1938909	0.001049212	0.001642161	0.00522438	0.02029711	0.001544509	0.1152801	2	133	1	241	188	270	270	-0.7154684	0	-2.195082	0	-2.942386	0	-1.682014	0	-0.4878912	0	-2.006706	0	-2.110152	0	1.632081	0	-0.7154684	0	-0.4878912	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	166	166			4	1	800	542	3	0	34	0.002473208	0.02946617	0.09549483	0.0005123179	3.412384E-05	-0.1287689	0	0	0	0	0	0.4135295	3.209476E-12	0.0001652882	5.301407E-05	0.0003688362	0.01250868	2.629963	0.00018733	0.04862527	0.0005975637	0.004457518	0.02261276	0.4466338	0.001916522	0.2198189	0.005201909	0.193678	0.0009616844	0.001848965	0.00350563	0.02213778	0.001816201	0.1154968	3	167	1	241	188	270	270	-0.7106807	0	-2.198103	0	-2.941076	0	-1.682899	0	-0.4881065	0	-2.007775	0	-2.116959	0	1.631637	0	-0.7106807	0	-0.4881065	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	199	199			4	1	800	542	4	0	34	0.003520052	0.02693923	0.08938172	0.0004714585	3.443552E-05	-0.1414261	0	0	0	0	0	0.4468641	4.689396E-12	0.0001530607	3.959069E-05	0.0003816331	0.02005199	1.705451	0.0001896892	0.07658779	0.001060415	0.004453066	0.02337252	0.4392197	0.001884603	0.211051	0.00498719	0.1942569	0.0006784011	0.002625048	0.00426884	0.02358415	0.00204306	0.08898688	4	200	1	241	188	270	270	-0.7079375	0	-2.198124	0	-2.953653	0	-1.690171	0	-0.4884111	0	-2.00257	0	-2.114541	0	1.630244	0	-0.7079375	0	-0.4884111	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	233	233			4	1	800	542	5	0	34	0.003107431	0.02975559	0.09048752	0.0005232531	3.63193E-05	-0.1450653	0	0	0	0	0	0.4601349	1.605384E-11	0.0001653762	4.083505E-05	0.0003615464	0.0192247	1.874928	0.0002187642	0.06424782	0.001306626	0.004449781	0.02325943	0.4405702	0.001890296	0.212783	0.005029079	0.1940014	0.0006817998	0.002428025	0.004929923	0.0238984	0.001964211	0.1065082	5	233	1	241	188	270	270	-0.7911046	0	-2.121969	0	-3.09382	0	-1.819216	0	-0.4224211	0	-1.946892	0	-2.113952	0	1.478972	0	-0.7911046	0	-0.4224211	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	266	266			4	1	800	542	6	0	34	0.004237419	0.02943703	0.09291021	0.000472373	4.215146E-05	-0.1453934	0	0	0	0	0	0.4629779	4.832391E-11	0.0001736009	5.088463E-05	0.0004561374	0.01612091	2.245489	0.0002471458	0.0678006	0.001027181	0.004449679	0.02298157	0.4435336	0.001902957	0.2163534	0.00511754	0.1940785	0.0005441344	0.002493447	0.005580376	0.02511047	0.002004464	0.1298676	6	267	1	241	188	270	270	-0.7911046	0	-2.121969	0	-3.09382	0	-1.819216	0	-0.4224211	0	-1.946892	0	-2.113952	0	1.478972	0	-0.7911046	0	-0.4224211	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	299	299			4	1	800	542	7	0	34	0.003440202	0.02494339	0.09264082	0.0004657091	4.435596E-05	-0.1462631	0	0	0	0	0	0.4629441	1.510502E-11	0.0001668495	5.225303E-05	0.0005468562	0.01986153	2.209291	0.0002607971	0.09625339	0.0008124407	0.004450519	0.023009	0.4432416	0.001902084	0.2159637	0.005107964	0.1946621	0.0006113454	0.002654152	0.004166928	0.02148625	0.002036501	0.1272082	7	300	1	241	188	270	270	-0.7911046	0	-2.121969	0	-3.09382	0	-1.819216	0	-0.4224211	0	-1.946892	0	-2.113952	0	1.478972	0	-0.7911046	0	-0.4224211	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	333	333			4	1	800	542	8	0	34	0.003418196	0.02386229	0.09324041	0.0004742879	4.862122E-05	-0.1521683	0	0	0	0	0	0.4809771	1.69127E-11	0.0001648701	6.357102E-05	0.0006040952	0.02137241	2.300777	0.0002714057	0.1073679	0.0008573219	0.004447549	0.02296652	0.4439743	0.001905322	0.2169584	0.005132417	0.1948915	0.000549338	0.002639502	0.004212178	0.02235694	0.002144088	0.1374946	8	333	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	366	366			4	1	800	542	9	0	34	0.003674283	0.023667	0.09480394	0.0004444659	4.675661E-05	-0.1379395	0	0	0	0	0	0.435349	2.586889E-11	0.0001695597	7.017358E-05	0.000631198	0.01924727	2.534007	0.0002904923	0.1212001	0.001030644	0.004455946	0.02272084	0.4458511	0.001913399	0.2189377	0.005181541	0.1951785	0.0005097996	0.002572433	0.003736102	0.02166826	0.002272101	0.1476475	9	367	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	399	399			4	1	800	542	10	0	34	0.00328106	0.02230328	0.09451116	0.0004511712	4.948732E-05	-0.1349487	0	0	0	0	0	0.4318598	7.636363E-12	0.0001695559	6.989652E-05	0.0007263908	0.01298744	2.492028	0.0002941832	0.1447409	0.0009565913	0.004456223	0.0227498	0.44551	0.001912073	0.2184929	0.005170524	0.1956649	0.0004531876	0.002607359	0.003243934	0.0212278	0.00237896	0.1428163	10	400	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	433	433			4	1	800	542	11	0	34	0.00338175	0.02234125	0.09522008	0.000506034	4.826498E-05	-0.1372528	0	0	0	0	0	0.439281	2.14975E-11	0.0001656471	7.417718E-05	0.0007323819	0.01296363	2.596713	0.0003042577	0.1275235	0.000867106	0.004454909	0.02268197	0.4463544	0.001915701	0.2195702	0.00519703	0.1953083	0.0004366851	0.002457463	0.003469915	0.02195463	0.002177312	0.1527911	11	433	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	466	466			4	1	800	542	12	0	34	0.003193655	0.02029516	0.09581033	0.0005335174	5.045408E-05	-0.1355362	0	0	0	0	0	0.4309226	2.121262E-11	0.0001480507	6.784846E-05	0.0007482218	0.01576621	2.685355	0.0003144588	0.1045538	0.0007568792	0.004457009	0.02260226	0.447071	0.001918943	0.2203707	0.005216877	0.1948325	0.0004375576	0.002384097	0.002895857	0.02091434	0.002093157	0.1426907	12	467	1	241	188	270	270	-0.7069008	0	-2.20111	0	-2.951416	0	-1.686903	0	-0.4899207	0	-2.003128	0	-2.109144	0	1.629666	0	-0.7069008	0	-0.4899207	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	500	500			4	1	800	542	13	0	34	0.00312565	0.0214991	0.09525765	0.0005646716	4.815859E-05	-0.1415405	0	0	0	0	0	0.4510092	4.218455E-12	0.0001625337	6.518939E-05	0.0007656257	0.01563616	2.603082	0.0003265316	0.09451809	0.0007530087	0.004452914	0.02269395	0.4464063	0.001916008	0.2197043	0.005200183	0.194625	0.000441587	0.002289205	0.002635643	0.02092231	0.001937963	0.1358036	13	500	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	533	533			4	1	800	542	14	0	34	0.003147374	0.02068058	0.09454033	0.0005015146	4.875174E-05	-0.1405792	0	0	0	0	0	0.4454629	3.705135E-12	0.000146435	6.790426E-05	0.0008045454	0.01806189	2.497974	0.0003262142	0.121133	0.0008123966	0.004454319	0.02276468	0.4455565	0.001912399	0.2186243	0.005173769	0.1951752	0.0004384916	0.002347908	0.002551351	0.02057057	0.002049383	0.1293399	14	533	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	566	566			4	1	800	542	15	0	34	0.003611565	0.02195289	0.09433446	0.0005223577	4.956615E-05	-0.153038	0	0	0	0	0	0.4852669	7.111548E-12	0.000140402	6.507125E-05	0.000858248	0.01911564	2.466156	0.0003786831	0.1130263	0.0007761754	0.004446832	0.02284903	0.4452982	0.001911156	0.2185803	0.0051726	0.1950092	0.0003840442	0.002331871	0.002043131	0.02076167	0.001938673	0.1259021	15	567	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	599	599			4	1	800	542	16	0	34	0.003416248	0.02024002	0.09450454	0.0005207431	5.026984E-05	-0.149765	0	0	0	0	0	0.4764287	1.210763E-11	0.0001519269	6.741579E-05	0.0009074674	0.01722188	2.493111	0.0003791771	0.1210596	0.0007183685	0.004448707	0.02281642	0.4455142	0.001912224	0.2187709	0.005177412	0.1951746	0.0004098075	0.002249615	0.002319604	0.02038297	0.001884123	0.1291635	16	600	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	633	633			4	1	800	542	17	0	34	0.002730581	0.02031264	0.09468579	0.0005199804	5.061138E-05	-0.1437531	0	0	0	0	0	0.4552015	4.076627E-12	0.0001462874	6.766998E-05	0.0009524695	0.01914377	2.519883	0.0003760032	0.09950285	0.0006914707	0.004452438	0.02276188	0.4457283	0.001913237	0.2189047	0.00518038	0.1947265	0.0004799079	0.001980435	0.002050579	0.01948761	0.001803172	0.1263762	17	633	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	666	666			4	1	800	542	18	0	34	0.002576398	0.01945553	0.09498957	0.0005392001	4.896235E-05	-0.1443634	0	0	0	0	0	0.4596843	4.7556E-12	0.0001540785	6.694018E-05	0.00103759	0.0166785	2.565629	0.0003559717	0.1018241	0.0006899991	0.00445155	0.02273514	0.4460954	0.001914901	0.219377	0.005191968	0.1947739	0.0004378987	0.001926044	0.001933248	0.01912837	0.001768949	0.1248397	18	667	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	699	699			4	1	800	542	19	0	34	0.002542389	0.01836089	0.09495798	0.0005276286	5.017668E-05	-0.1474152	0	0	0	0	0	0.4652874	9.02623E-12	0.0001574408	6.662453E-05	0.0009450205	0.02140026	2.562066	0.0003375387	0.1331185	0.000727838	0.004451109	0.02274514	0.4460706	0.00191485	0.2193671	0.005191794	0.1954212	0.0004374537	0.002007785	0.001921313	0.01896464	0.001834807	0.1199023	19	700	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	733	733			4	1	800	542	20	0	34	0.002480116	0.0200014	0.09474932	0.0005316275	4.764231E-05	-0.1514435	0	0	0	0	0	0.4816292	5.112087E-12	0.0001631863	6.629305E-05	0.0008584542	0.01863476	2.529597	0.0003125364	0.1036245	0.0006887809	0.00444746	0.02279461	0.4458111	0.001913623	0.2191734	0.005186712	0.1948107	0.0004227278	0.001835234	0.002049176	0.02011056	0.001753092	0.1185248	20	733	1	241	188	270	270	-0.7069008	0	-2.20111	0	-2.951416	0	-1.686903	0	-0.4899207	0	-2.003128	0	-2.109144	0	1.629666	0	-0.7069008	0	-0.4899207	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	766	766			4	1	800	542	21	0	34	0.002700131	0.01906677	0.09473009	0.0005229309	4.73918E-05	-0.1433105	0	0	0	0	0	0.4545068	1.341395E-11	0.0001614627	6.725231E-05	0.0008439999	0.01846796	2.527688	0.0003069422	0.1189683	0.0006798325	0.004452795	0.02275587	0.4457965	0.001913589	0.2189637	0.005181961	0.1951288	0.0004161657	0.001736649	0.002017618	0.02023664	0.001772803	0.1220424	21	767	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	799	799			4	1	800	542	22	0	34	0.002626733	0.01907584	0.0948287	0.0005145796	4.551513E-05	-0.1495972	0	0	0	0	0	0.4781803	3.701294E-11	0.0001596833	6.699548E-05	0.0007916456	0.01601946	2.542257	0.0002763201	0.09919751	0.0006603777	0.004448211	0.02278155	0.4459158	0.001914103	0.2192634	0.005189146	0.1947199	0.0004943736	0.0017122	0.002186911	0.0208216	0.00179859	0.1225472	22	800	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	833	833			4	1	800	542	23	0	34	0.00283415	0.01866926	0.09388462	0.0004918956	4.329657E-05	-0.1615448	0	0	0	0	0	0.5137764	6.033793E-11	0.0001601338	6.416918E-05	0.0006499375	0.02023767	2.402456	0.0002705903	0.09666194	0.0007027757	0.004442179	0.02294133	0.444793	0.001909243	0.2181164	0.005160918	0.1946683	0.000506525	0.001824191	0.002607662	0.02164947	0.001886291	0.117962	23	833	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	866	866			4	1	800	542	24	0	34	0.002509216	0.01786421	0.09353689	0.0005000127	4.842036E-05	-0.1462784	0	0	0	0	0	0.4589844	3.288897E-12	0.0001599732	6.011832E-05	0.0006423864	0.02457596	2.351265	0.0002519302	0.1010711	0.0006877339	0.004452654	0.02289498	0.4443817	0.00190756	0.2172545	0.005139921	0.1947581	0.0005638952	0.001863752	0.002240839	0.02070846	0.00186071	0.113525	24	867	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	900	900			4	1	800	542	25	0	34	0.002598879	0.01906504	0.09393534	0.0004909611	4.742607E-05	-0.1458282	0	0	0	0	0	0.4652711	1.909111E-12	0.0001652325	6.332621E-05	0.0006611339	0.01668054	2.409626	0.0002533433	0.130392	0.0007188071	0.004450727	0.02286252	0.4448507	0.001909498	0.2178775	0.005155129	0.1953649	0.0005575026	0.001878113	0.002779874	0.02181233	0.001930248	0.1193374	25	900	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	933	933			4	1	800	542	26	0	34	0.002605345	0.0175141	0.09375785	0.0004623543	5.283953E-05	-0.1518478	0	0	0	0	0	0.4833399	2.102395E-11	0.0001737414	6.614617E-05	0.0006264359	0.01870656	2.384675	0.0002575194	0.1699388	0.0007763864	0.004447914	0.02290924	0.4446505	0.00190873	0.2177344	0.005151683	0.1961858	0.0005146812	0.002028972	0.002829114	0.02176666	0.001941874	0.1169156	26	933	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	966	966			4	1	800	542	27	0	34	0.002841221	0.0182423	0.0935368	0.0004476978	6.052099E-05	-0.140213	0	0	0	0	0	0.4392795	1.581025E-11	0.0001825307	6.393144E-05	0.0005854233	0.02396782	2.35087	0.0002484247	0.1849173	0.0008380407	0.004456461	0.02286579	0.4443804	0.001907485	0.2171223	0.005136956	0.1964985	0.0006086775	0.002109831	0.003259069	0.02303918	0.001974955	0.1107977	27	967	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	999	999			4	1	800	542	28	0	34	0.003327504	0.01679342	0.09455947	0.0004567529	6.529989E-05	-0.1390533	0	0	0	0	0	0.4375456	3.175948E-11	0.0001810882	6.818277E-05	0.0006240145	0.02125709	2.504699	0.000242732	0.2208021	0.0008185153	0.004457247	0.02274891	0.4456194	0.001912859	0.2185937	0.005173616	0.1972494	0.0005669103	0.00212857	0.003976755	0.02434261	0.002063989	0.1188771	28	1000	1	241	188	270	270	-0.7069008	0	-2.20111	0	-2.951416	0	-1.686903	0	-0.4899207	0	-2.003128	0	-2.109144	0	1.629666	0	-0.7069008	0	-0.4899207	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1033	1033			4	1	800	542	29	0	34	0.003509946	0.01640046	0.09296484	0.0004506509	6.936039E-05	-0.1265564	0	0	0	0	0	0.3910858	9.659897E-12	0.0001865018	6.578858E-05	0.0005745263	0.02592566	2.26676	0.0002675677	0.2709117	0.0009223471	0.004466369	0.02285788	0.4437056	0.001904604	0.2159635	0.005109358	0.1983009	0.0005621603	0.002419738	0.003728528	0.02486266	0.002065964	0.1072312	29	1033	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1066	1066			4	1	800	542	30	0	34	0.003662903	0.01689835	0.09411	0.0004318487	7.322788E-05	-0.1322556	0	0	0	0	0	0.4096847	4.622421E-12	0.0001880621	6.917345E-05	0.0005792268	0.02611495	2.437825	0.0002722864	0.3354959	0.0008665769	0.004462878	0.02275603	0.4450815	0.001910487	0.2177534	0.00515331	0.1996641	0.0004889659	0.002654203	0.003819005	0.02537027	0.002086533	0.1112836	30	1067	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1099	1099			4	1	800	542	31	0	34	0.003954012	0.01592831	0.09430377	0.0004188385	8.286403E-05	-0.1269302	0	0	0	0	0	0.3900092	7.038516E-12	0.000169947	7.201741E-05	0.000608425	0.02786004	2.467622	0.0002800549	0.4068452	0.000793925	0.00446697	0.02270399	0.4453204	0.00191155	0.2179022	0.005157376	0.2011814	0.0005333632	0.002819808	0.003422375	0.0250531	0.002119546	0.1156178	31	1100	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1133	1133			4	1	800	542	32	0	34	0.003233066	0.01667529	0.09373303	0.0004382554	7.259277E-05	-0.1238708	0	0	0	0	0	0.3874452	8.499016E-12	0.0001540862	6.958818E-05	0.0005813878	0.02092285	2.381803	0.0002725038	0.2626705	0.0007768893	0.004466391	0.02276614	0.4446292	0.00190861	0.217065	0.005136261	0.1981266	0.0005333698	0.002558317	0.003047194	0.0241005	0.002098534	0.1128641	32	1133	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1166	1166			4	1	800	542	33	0	34	0.003402557	0.01530573	0.09428487	0.0004540988	7.337084E-05	-0.1215363	0	0	0	0	0	0.384196	1.436019E-11	0.0001355034	6.782504E-05	0.000580739	0.01623304	2.465431	0.0002977301	0.2469495	0.0007969099	0.004467008	0.0227007	0.4453015	0.001911579	0.2178434	0.00515568	0.1977972	0.0005497798	0.002548234	0.002695447	0.02252277	0.002039977	0.1137577	33	1167	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1199	1199			4	1	800	542	34	0	34	0.003192519	0.01583453	0.09331334	0.0004316754	6.733695E-05	-0.129303	0	0	0	0	0	0.3971404	5.155012E-12	0.0001243217	6.28503E-05	0.0005208395	0.02944649	2.319762	0.0002920002	0.2429647	0.0008161744	0.00446539	0.02282519	0.4441309	0.001906514	0.2165154	0.00512276	0.197713	0.0004821718	0.002837298	0.002871895	0.02145324	0.002021412	0.1055747	34	1200	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
Validierungsstudie2	20161027	MT	0	MALE	validierte Gesichter	TestImage	AffRaw|Emotient FACET	1233	1233			4	1	800	542	35	0	34	0.002986625	0.01572604	0.09312894	0.0004722555	7.504354E-05	-0.1285172	0	0	0	0	0	0.4067039	3.547231E-12	0.0001228651	5.921258E-05	0.0005212022	0.01725958	2.292151	0.0003080833	0.2438315	0.0007706863	0.004462602	0.02286514	0.4439104	0.001905592	0.2163105	0.005117545	0.1977303	0.0004074949	0.002657113	0.002591373	0.02065223	0.001896808	0.09934074	35	1233	1	241	188	270	270	-0.7980248	0	-2.121453	0	-3.08964	0	-1.824395	0	-0.4193151	0	-1.945807	0	-2.116633	0	1.481577	0	-0.7980248	0	-0.4193151	0						
